"newBatterySoc";"energyConsumption";"powerProduction";"selfUsedEnergy";"selfUsedEnergyPV";"selfUsedEnergyBattery";"feedInEnergyGrid";"gridUsedEnergy";"missedInverterPower";"missedBatteryPower";"missedFeedInPowerGrid";"lossesUnloadBattery";"lossesLoadBattery";"lossesPvGeneration";"losses";"dayTime"
"2.19824158875781e-16";"2369.7851639668766";"0";"0.8667000000000002";"0.8667000000000002";"0";"0";"2368.9184639668765";"0";"0";"0";"0";"2.198241588757812e-18";"0.13329999999999953";"0.13329999999999953";"20200102:20"
"5.495603971894524e-16";"1974.4280824694893";"0";"0.8667000000000004";"0.8667000000000001";"2.1762591728702318e-16";"0";"1973.5613824694892";"0";"0";"0";"2.198241588757812e-18";"5.495603971894529e-18";"0.1332999999999993";"0.1332999999999993";"20200102:21"
"1.0991207943789052e-16";"1664.2714623169395";"0";"0.8667000000000009";"0.8667000000000004";"5.440647932175579e-16";"0";"1663.4047623169395";"0";"0";"0";"5.495603971894529e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200102:22"
"2.19824158875781e-16";"1267.5673379524403";"0";"0.8667000000000002";"0.8667000000000001";"1.0881295864351161e-16";"0";"1266.7006379524403";"0";"0";"0";"1.0991207943789062e-18";"2.198241588757812e-18";"0.13329999999999964";"0.13329999999999964";"20200102:23"
"-6.594724766273429e-16";"870.7429748032106";"0";"0.8667000000000004";"0.8667000000000001";"2.1762591728702318e-16";"0";"869.8762748032105";"0";"0";"0";"2.198241588757812e-18";"0";"0.13330000000000053";"0.13330000000000053";"20200103:00"
"2.19824158875781e-16";"612.4203107058987";"0";"0.8666999999999997";"0.8667000000000004";"-6.528777518610695e-16";"0";"611.5536107058987";"0";"0";"0";"-6.5947247662734354e-18";"2.198241588757812e-18";"0.13329999999999942";"0.13329999999999942";"20200103:01"
"7.693845560652335e-16";"539.2401304067909";"0";"0.8666999999999999";"0.8666999999999997";"2.1762591728702318e-16";"0";"538.3734304067908";"0";"0";"0";"2.198241588757812e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999953";"20200103:02"
"7.693845560652335e-16";"522.0411018572308";"0";"0.8667000000000005";"0.8666999999999997";"7.616907105045811e-16";"0";"521.1744018572308";"0";"0";"0";"7.693845560652341e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999956";"20200103:03"
"7.693845560652335e-16";"522.0411018572308";"0";"0.8667000000000005";"0.8666999999999997";"7.616907105045811e-16";"0";"521.1744018572308";"0";"0";"0";"7.693845560652341e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999956";"20200103:04"
"0";"579.0339611685177";"0";"0.8667000000000015";"0.8667000000000007";"7.616907105045811e-16";"0";"578.1672611685177";"0";"0";"0";"7.693845560652341e-18";"0";"0.1332999999999993";"0.1332999999999993";"20200103:05"
